,TITLE_ID,HOURS_VIEWED,TOTAL_CANCEL,TOTAL_VIEWER
35,GXbos4w0lSLavMAEAAAwJ,277994,2925,47844
36,GVU2gkAgT4oNJjhsJAUDk,1547424,6230,129647
37,GXkyElw3j2J4_wwEAAAQa,1709593,12576,177247
38,GX8VcRQca5sLDbAEAAAD-,798674,6510,162716
39,GXm_gJg34lp4_wwEAAEZI,544314,8560,129018
40,GYXhZlwhBpMI_wwEAAAfU,59954,1368,38338
41,GX3hmdAVQOYuZmAEAAAEJ,39267,535,12698
42,GYQs87QYhsMNtXAEAAAAt,19329,167,5055
43,GXbCIvwTBr3epwwEAAAJj,530478,4894,84992
44,GXrM2ZQ4H5YsvwgEAAAAU,36427,939,20319
45,GYbQBKgXS6L6udwEAAAVE,17999,721,16445
46,GYFbIKwowCcPDwgEAAAAR,68487,1292,17479
47,GYGZOFAibujSytwEAAAAK,10024,158,3433
48,GX3Tifw4gsyjDDgEAAAHE,56321,1461,19984
49,GXmp1jAaXgQ4eoAEAAAKd,30314,460,9796
50,GXrmH9AvV0sMZwwEAAALC,2409,53,802
51,GXvy38wtOybnDHQEAAAGO,10999,164,2114
52,GX6rPBgQ6yMI2wgEAAABi,54,1,62
53,GX0bLbAFHFhTCwwEAAANk,494,49,1427
54,GX-nw5gRdmKCFpgEAAAJ5,21661,287,5507
55,GYUUqRglftpPDXwEAAAAV,2094,51,791
56,GXqR-OwiGNr2_wwEAAANM,1657,29,668
57,GXc3jsQC0icPCwwEAAAaq,99,4,94
58,GYffcKwncvb6XoAEAAABG,11976,817,19196
59,GXpdzNQG7zbAdWQEAAAaL,33732,385,9966
60,GX85kwgLK4sJXjwEAAAAJ,7213,297,3931
61,GXYvAsgUUHcIggQEAAABz,432,12,324
62,GXqsY5QDjQjqbswEAAAIw,343,30,392
63,GX9j4vQkI6nidqQEAAACc,13,2,12
64,GYd2UdggSbW-jkwEAAAXw,1,0,2
65,GYa9EmAeGrJu2ZQEAAAAx,0,0,1
66,GYSY16gSdrsLCwwEAAAKW,0,1,1
67,GYZWoOQ6F9cLDCAEAAABP,568188,6543,179622
68,GX3tk8wmzrYVepgEAAACw,567789,3968,92869
69,GXoToxQL_t5CtwwEAAADF,17803,537,10199
70,GXRuC4gJdpm2YwgEAAAF_,3442105,37585,1118523
71,GVU2b2A6ZF47DwvwIAT34,525869,2318,60404
72,GYWDFCQqUi8PCNgEAAAAZ,6267,100,2553
73,GXnzVfgFjtICgwwEAAA7L,214382,3672,54425
74,GYNEHhgjBeK6SNwEAAAA_,20946,571,11808
