,expiration_month,level,title_viewed_lower_bound,title_viewed_upper_bound,title_viewed_bin,churn,vol_churn,invol_churn,user_dist,user_id,is_cancel
257,2023-10,total,4.0,4.5,4.25,0.04049296363289857,0.02364513572882988,0.016847827904068687,0.04099258049492789,299089,12111
258,2023-10,total,4.5,5.0,4.75,0.03945653847453744,0.022967182764849246,0.0164893557096882,0.036497621904302176,266293,10507
259,2023-10,total,5.0,5.5,5.25,0.03845248008613221,0.02146996727985398,0.01698251280627823,0.03258886095644101,237774,9143
260,2023-10,total,5.5,6.0,5.75,0.03797056632946478,0.02054794520547945,0.01742262112398533,0.029075238611359872,212138,8055
261,2023-10,total,6.0,6.5,6.25,0.03783220205545035,0.020336404451347958,0.01749579760410239,0.025765284654669693,187988,7112
262,2023-10,total,6.5,7.0,6.75,0.037315428265842714,0.01951929647345435,0.017796131792388366,0.023066198805017535,168295,6280
263,2023-10,total,7.0,7.5,7.25,0.0370860839011925,0.01865949744463373,0.01842658645655877,0.020596000040569207,150272,5573
264,2023-10,total,7.5,8.0,7.75,0.037680625184311416,0.01903568268947213,0.018644942494839282,0.018590565411406034,135640,5111
265,2023-10,total,8.0,8.5,8.25,0.03746148395920183,0.01811695694442156,0.019344527014780274,0.01663584229213832,121378,4547
266,2023-10,total,8.5,9.0,8.75,0.036736771308599786,0.01749586461381855,0.019240906694781235,0.015079958345291656,110026,4042
267,2023-10,total,9.0,9.5,9.25,0.03735614748296018,0.017403879214448963,0.019952268268511215,0.013553130723033744,98886,3694
268,2023-10,total,9.5,10.0,9.75,0.0362682736301752,0.017040508871777705,0.0192277647583975,0.012281779464141069,89610,3250
269,2023-10,total,10.0,10.5,10.25,0.03630485216447011,0.016437139049311416,0.019867713115158694,0.011106643015914916,81036,2942
270,2023-10,total,10.5,11.0,10.75,0.036839002454105485,0.016260162601626018,0.02057883985247947,0.009996883298013452,72939,2687
271,2023-10,total,11.0,11.5,11.25,0.03678405719936107,0.016779493420552218,0.020004563778808854,0.009009516494535356,65735,2418
272,2023-10,total,11.5,12.0,11.75,0.03590425531914894,0.015309175531914894,0.020595079787234044,0.008245417392732136,60160,2160
273,2023-10,total,12.0,13.0,12.5,0.03718393177824087,0.015855028761848057,0.021328903016392814,0.014272000640335606,104131,3872
274,2023-10,total,13.0,14.0,13.5,0.037265777943507036,0.01477579938473012,0.022489978558776918,0.011761780900510322,85816,3198
275,2023-10,total,14.0,15.0,14.5,0.03716178443649374,0.01524765205724508,0.02191413237924866,0.009806783664972903,71552,2659
276,2023-10,total,15.0,16.0,15.5,0.0372408947183511,0.01462198651565088,0.022618908202700214,0.008192375894544182,59773,2226
277,2023-10,total,16.0,19.0,17.5,0.03797816353782107,0.013659571125598931,0.024318592412222135,0.017448871148083914,127310,4835
278,2023-10,total,19.0,231.0,125.0,0.04147698772489376,0.012644211203755406,0.02883277652113836,0.028963399173320154,211322,8765
279,2024-04,total,-0.011,0.0,-0.0055,,,,0.0,0,0
280,2024-04,total,0.0,0.5,0.25,0.06403531966175297,0.04691067369737772,0.017124645964375244,0.10781595943298501,786644,50373
281,2024-04,total,0.5,1.0,0.75,0.05628921482446458,0.040204111630212674,0.016085103194251903,0.0951092997508009,693934,39061
282,2024-04,total,1.0,1.5,1.25,0.05173195428948911,0.03574655212053897,0.01598540216895014,0.08465066759646905,617626,31951
283,2024-04,total,1.5,2.0,1.75,0.04840619523516317,0.03276508458150101,0.015641110653662162,0.07523641842971399,548938,26572
284,2024-04,total,2.0,2.5,2.25,0.04593115062576303,0.03025361983171617,0.01567753079404686,0.06657283666754658,485727,22310
285,2024-04,total,2.5,3.0,2.75,0.04362234923944816,0.027722440468432908,0.01589990877101525,0.05889223584854199,429688,18744
286,2024-04,total,3.0,3.5,3.25,0.04226574250344458,0.026418061150435962,0.015847681353008614,0.05212430514952083,380308,16074
287,2024-04,total,3.5,4.0,3.75,0.04143437672915935,0.025036739987981414,0.016397636741177942,0.046071543798160516,336146,13928
288,2024-04,total,4.0,4.5,4.25,0.04049296363289857,0.02364513572882988,0.016847827904068687,0.04099258049492789,299089,12111
289,2024-04,total,4.5,5.0,4.75,0.03945653847453744,0.022967182764849246,0.0164893557096882,0.036497621904302176,266293,10507
290,2024-04,total,5.0,5.5,5.25,0.03845248008613221,0.02146996727985398,0.01698251280627823,0.03258886095644101,237774,9143
291,2024-04,total,5.5,6.0,5.75,0.03797056632946478,0.02054794520547945,0.01742262112398533,0.029075238611359872,212138,8055
292,2024-04,total,6.0,6.5,6.25,0.03783220205545035,0.020336404451347958,0.01749579760410239,0.025765284654669693,187988,7112
293,2024-04,total,6.5,7.0,6.75,0.037315428265842714,0.01951929647345435,0.017796131792388366,0.023066198805017535,168295,6280
294,2024-04,total,7.0,7.5,7.25,0.0370860839011925,0.01865949744463373,0.01842658645655877,0.020596000040569207,150272,5573
295,2024-04,total,7.5,8.0,7.75,0.037680625184311416,0.01903568268947213,0.018644942494839282,0.018590565411406034,135640,5111
296,2024-04,total,8.0,8.5,8.25,0.03746148395920183,0.01811695694442156,0.019344527014780274,0.01663584229213832,121378,4547
297,2024-04,total,8.5,9.0,8.75,0.036736771308599786,0.01749586461381855,0.019240906694781235,0.015079958345291656,110026,4042
298,2024-04,total,9.0,9.5,9.25,0.03735614748296018,0.017403879214448963,0.019952268268511215,0.013553130723033744,98886,3694
299,2024-04,total,9.5,10.0,9.75,0.0362682736301752,0.017040508871777705,0.0192277647583975,0.012281779464141069,89610,3250
300,2024-04,total,10.0,10.5,10.25,0.03630485216447011,0.016437139049311416,0.019867713115158694,0.011106643015914916,81036,2942
301,2024-04,total,10.5,11.0,10.75,0.036839002454105485,0.016260162601626018,0.02057883985247947,0.009996883298013452,72939,2687
302,2024-04,total,11.0,11.5,11.25,0.03678405719936107,0.016779493420552218,0.020004563778808854,0.009009516494535356,65735,2418
303,2024-04,total,11.5,12.0,11.75,0.03590425531914894,0.015309175531914894,0.020595079787234044,0.008245417392732136,60160,2160
304,2024-04,total,12.0,13.0,12.5,0.03718393177824087,0.015855028761848057,0.021328903016392814,0.014272000640335606,104131,3872
305,2024-04,total,13.0,14.0,13.5,0.037265777943507036,0.01477579938473012,0.022489978558776918,0.011761780900510322,85816,3198
306,2024-04,total,14.0,15.0,14.5,0.03716178443649374,0.01524765205724508,0.02191413237924866,0.009806783664972903,71552,2659
307,2024-04,total,15.0,16.0,15.5,0.0372408947183511,0.01462198651565088,0.022618908202700214,0.008192375894544182,59773,2226
308,2024-04,total,16.0,19.0,17.5,0.03797816353782107,0.013659571125598931,0.024318592412222135,0.017448871148083914,127310,4835
309,2024-04,total,19.0,231.0,125.0,0.04147698772489376,0.012644211203755406,0.02883277652113836,0.028963399173320154,211322,8765
310,2024-02,total,-0.011,0.0,-0.0055,,,,0.0,0,0
311,2024-02,total,0.0,0.5,0.25,0.020018520077447595,0.017043063006527946,0.002975457070919652,0.09898202341802155,653345,13079
312,2024-02,total,0.5,1.0,0.75,0.017641635314938488,0.014849256052766567,0.0027923792621719202,0.09185362698755258,606293,10696
313,2024-02,total,1.0,1.5,1.25,0.01628754209597256,0.013560134420957937,0.002727407675014621,0.08470977751712977,559139,9107
314,2024-02,total,1.5,2.0,1.75,0.014641536161171009,0.011989454631305579,0.0026520815298654286,0.07700461909544268,508280,7442
315,2024-02,total,2.0,2.5,2.25,0.013847073456955622,0.011216547044009125,0.002630526412946497,0.06893904124189112,455042,6301
316,2024-02,total,2.5,3.0,2.75,0.013285205671836695,0.01066118044177251,0.0026240252300641837,0.0614887064790506,405865,5392
317,2024-02,total,3.0,3.5,3.25,0.01313123775251583,0.010541473539906416,0.0025897642126094154,0.0548142052221276,361809,4751
318,2024-02,total,3.5,4.0,3.75,0.012179469162520962,0.009559321822173504,0.0026201473403474583,0.04851209192801368,320211,3900
319,2024-02,total,4.0,4.5,4.25,0.012387608190246771,0.009660093554802386,0.0027275146354443854,0.043269723873871076,285608,3538
320,2024-02,total,4.5,5.0,4.75,0.011708441964957881,0.009077509489583252,0.0026309324753746306,0.03823597185910524,252382,2955
321,2024-02,total,5.0,5.5,5.25,0.011954229581713188,0.009240392572094637,0.00271383700961855,0.034053349044933956,224774,2687
322,2024-02,total,5.5,6.0,5.75,0.01165187460601755,0.00885022163076215,0.0028016529752554007,0.030282201294631446,199882,2329
323,2024-02,total,6.0,6.5,6.25,0.011465032777367552,0.008624139699789752,0.0028408930775778002,0.02687753299186155,177409,2034
324,2024-02,total,6.5,7.0,6.75,0.01096041334245118,0.00809209026669706,0.002868323075754122,0.023926759862637623,157932,1731
325,2024-02,total,7.0,7.5,7.25,0.01109592746010733,0.008220523551266174,0.0028754039088411554,0.021286108035232326,140502,1559
326,2024-02,total,7.5,8.0,7.75,0.010462974723739362,0.007644798679029595,0.0028181760447097675,0.01908420134220257,125968,1318
327,2024-02,total,8.0,8.5,8.25,0.010858642002756904,0.008075058917693095,0.002783583085063809,0.017035461545185825,112445,1221
328,2024-02,total,8.5,9.0,8.75,0.010515080839625253,0.007550302407400087,0.002964778432225165,0.015330021635770939,101188,1064
329,2024-02,total,9.0,9.5,9.25,0.010347925423954393,0.0072535297183989,0.003094395705555494,0.013659729817231443,90163,933
330,2024-02,total,9.5,10.0,9.75,0.010729719718483764,0.0077046548956661316,0.003025064822817632,0.01227001672412824,80990,869
331,2024-02,total,10.0,10.5,10.25,0.01046372711917938,0.007456435466816802,0.0030072916523625776,0.011032713025079527,72823,762
332,2024-02,total,10.5,11.0,10.75,0.009363954893890478,0.006885260951390058,0.0024786939425004207,0.009901611100615501,65357,612
333,2024-02,total,11.0,11.5,11.25,0.010003572704537335,0.006941254529678967,0.003062318174858368,0.00890504152398486,58779,588
