,expiration_month,content_pillar,pillar_rank,percent_viewing_subs,absolute churn reduction,number of users impacted,ckg_series_id
236,2022-04-01,Library Supporter - Movies (Acq),5.0,0.001869566244000236,0.007616352930516865,32832.14769710799,1770
237,2022-04-01,Library Supporter - Specials,5.0,0.000457554426799643,9.011034761745307e-06,38.84426403298501,5
238,2022-04-01,Library Supporter - Unscripted Series (Acq),5.0,0.00108907178840111,0.00013593468358669147,585.9796216632287,31
239,2022-04-01,New Supporter - Adult Animation Series (Acq),4.0,0.002754280931551491,1.084759933094731e-05,46.76122373028513,1
240,2022-04-01,New Supporter - Comedy Series (Acq),4.0,0.000915652346124673,4.9366953627387467e-05,212.80829914753878,7
241,2022-04-01,New Supporter - Comedy Series (OP),4.0,0.000993260631504053,0.00019415324225040276,836.9449241114702,26
242,2022-04-01,New Supporter - Docu-Movies (Acq),4.0,0.0020762850527271705,7.338528410828771e-05,316.3451731580966,9
243,2022-04-01,New Supporter - Docu-Movies (OP),4.0,0.0004304748012562719,0.00017165540556422776,739.9625096035614,102
244,2022-04-01,New Supporter - Docu-Series (Acq),4.0,0.0002937137997524325,9.254892785443003e-06,39.89547354549171,8
245,2022-04-01,New Supporter - Docu-Series (OP),4.0,0.002058719539649259,0.000519535468936988,2239.5844055073076,31
246,2022-04-01,New Supporter - Drama Series (Acq),4.0,0.0016089035740863825,0.00022055064099518046,950.7373523661281,21
247,2022-04-01,New Supporter - Drama Series (OP),4.0,0.0005363923257794941,0.00017683627242674055,762.2959003459373,60
248,2022-04-01,New Supporter - Kids Series (Acq),4.0,0.002591538336151099,0.0005205481302654955,2243.9497292532033,24
249,2022-04-01,New Supporter - Kids Series (OP),4.0,0.002094534029392606,7.759712321895457e-05,334.5013333333691,8
250,2022-04-01,New Supporter - Movies (Acq),4.0,0.0007216453984343705,9.907358457251353e-05,427.0808602544553,35
251,2022-04-01,New Supporter - Movies (OP),4.0,0.00035555811247431996,3.4970039862095015e-05,150.7468895152869,25
252,2022-04-01,New Supporter - Specials,4.0,0.0007389675656916764,8.700695194824998e-05,375.0646960692069,30
253,2022-04-01,New Supporter - Unscripted Series (Acq),4.0,0.0018574004343050242,0.00013682242645589315,589.8064539101827,18
254,2022-04-01,New Supporter - Unscripted Series (OP),4.0,0.0007186694454599949,0.0001727320541740629,744.6036661385166,35
255,2022-04-01,Segment Anchor - Adult Animation Series (Acq),3.0,0.01792790551030428,0.0021760403541145196,9380.35290025704,18
256,2022-04-01,Segment Anchor - Adult Animation Series (OP),3.0,0.0025302476788229594,3.98081688254559e-05,171.6028249153211,4
257,2022-04-01,Segment Anchor - Comedy Series (Acq),3.0,0.003748154224266933,0.000160875047666105,693.4911464763761,6
258,2022-04-01,Segment Anchor - Comedy Series (OP),3.0,0.005328073297788038,0.0018811698732885615,8109.241744259427,50
259,2022-04-01,Segment Anchor - Docu-Movies (OP),3.0,0.0022887464437693354,4.5000094178876404e-05,193.9838859810264,5
260,2022-04-01,Segment Anchor - Docu-Series (Acq),3.0,0.0010882112229350664,4.287152740332922e-06,18.480817952473704,1
261,2022-04-01,Segment Anchor - Docu-Series (OP),3.0,0.0031682594827147133,0.0004388397851067191,1891.7259706100788,18
262,2022-04-01,Segment Anchor - Drama Series (Acq),3.0,0.006472741905650934,0.00018522968518496635,798.4777540329826,6
263,2022-04-01,Segment Anchor - Drama Series (OP),3.0,0.005115074747602218,0.001000064310394226,4311.021225646047,27
264,2022-04-01,Segment Anchor - Kids Series (OP),3.0,0.00025687754441769986,9.93469092768623e-06,42.825909308377845,6
265,2022-04-01,Segment Anchor - Movies (Acq),3.0,0.012094093656841295,0.0010859518416800745,4681.260385811332,24
266,2022-04-01,Segment Anchor - Movies (OP),3.0,0.0026383248128728724,0.0003578751039983452,1542.7079573102426,35
267,2022-04-01,Segment Anchor - Specials,3.0,0.00033776072065518157,1.330833177590196e-06,5.736881135297872,1
268,2022-04-01,Segment Anchor - Unscripted Series (Acq),3.0,0.001387405515150053,4.2581027421509376e-05,183.555908471107,4
269,2022-04-01,Segment Anchor - Unscripted Series (OP),3.0,0.008815618603192396,0.0006678544174998219,2878.9494231108524,8
270,2022-05-01,Brand Halo - Comedy Series (OP),7.0,0.0025941671053586464,0.000172036839808834,746.7353652164335,8
271,2022-05-01,Brand Halo - Docu-Movies (Acq),7.0,7.510560285493445e-05,2.9594251876874367e-07,1.2845547795542642,1
272,2022-05-01,Brand Halo - Docu-Movies (OP),7.0,8.657568372107543e-05,6.055521061578556e-05,262.84322221440107,178
273,2022-05-01,Brand Halo - Docu-Series (OP),7.0,0.0007953887397875552,0.00013075937193921666,567.5682456676266,21
274,2022-05-01,Brand Halo - Drama Series (OP),7.0,0.001014819254191869,0.00024273344190484797,1053.5978549272972,33
275,2022-05-01,Brand Halo - Movies (Acq),7.0,0.00278213269962021,1.0957237165439004e-05,47.5604905646321,1
276,2022-05-01,Brand Halo - Movies (OP),7.0,0.00036588820893568725,0.00013611181482993395,590.800818419144,95
277,2022-05-01,Brand Halo - Specials,7.0,0.00024339894010938382,0.00010594248757230668,459.8491941444136,111
278,2022-05-01,Brand Halo - Unscripted Series (OP),7.0,0.0005202790887340444,2.3299188512473923e-05,101.13140919376124,10
279,2022-05-01,Engagement Anchor - Comedy Series (Acq),2.0,0.013494818058980937,5.304596948411261e-05,230.2489480741124,1
280,2022-05-01,Engagement Anchor - Comedy Series (OP),2.0,0.003969607573225083,0.00015530518140173533,674.1106816592093,10
281,2022-05-01,Engagement Anchor - Docu-Series (OP),2.0,0.0009012343220756662,2.4830365259957687e-05,107.77756608093564,7
282,2022-05-01,Engagement Anchor - Drama Series (OP),2.0,0.01236142119416263,0.0030097434861996453,13063.957137741301,35
283,2022-05-01,Engagement Anchor - Movies (Acq),2.0,0.023652231295493507,0.0029575582440312387,12837.444223921013,37
284,2022-05-01,Engagement Anchor - Movies (OP),2.0,0.0034667686505527517,0.00013575499744235275,589.2520329233914,10
285,2022-05-01,Engagement Anchor - Specials,2.0,0.0033062592226109334,3.9014239291271235e-05,169.34345142692382,3
286,2022-05-01,Experimentation - Adult Animation Series (OP),6.0,0.000939971962110836,3.703243375285936e-06,16.074131548814247,1
287,2022-05-01,Experimentation - Comedy Series (OP),6.0,8.789198616305978e-05,6.926381772576207e-07,3.006434103486452,2
288,2022-05-01,Experimentation - Docu-Movies (OP),6.0,0.0005821068196732138,6.8790458645912045e-06,29.858876922780677,3
289,2022-05-01,Experimentation - Docu-Series (OP),6.0,0.0028599453295719097,8.99704572411425e-05,390.5217180303273,4
