,entertainment_segment_lifetime,medal,content_sub_pillar,percent_viewing_subs
346,Pay-1 Movie Watchers,Silver,Buzz/Prestige/Brand Support,0.01144585188985653
347,Pay-1 Movie Watchers,Silver,Engagement Anchor,0.03546939403451198
348,Pay-1 Movie Watchers,Silver,Experimentation,0.06471522363735442
350,Pay-1 Movie Watchers,Silver,Supporter: Broad Library,0.12765136407968591
351,Pay-1 Movie Watchers,Silver,Supporter: New Content,0.027130696475174715
352,Procedurals Watchers,Bronze,Buzz/Prestige/Brand Support,0.0035661980426307726
353,Procedurals Watchers,Bronze,Engagement Anchor,0.03194601124100271
354,Procedurals Watchers,Bronze,Experimentation,0.005457550863780734
356,Procedurals Watchers,Bronze,News & Sports,0.0019037652273681848
357,Procedurals Watchers,Bronze,Supporter: Broad Library,0.006145886746771416
358,Procedurals Watchers,Bronze,Supporter: New Content,0.009158648976974583
359,Procedurals Watchers,Bronze,Supporter: Segment-Specific Library,0.0013817475067162762
360,Procedurals Watchers,Gold,Engagement Anchor,0.10259354234583823
361,Procedurals Watchers,Gold,Experimentation,0.02002870493271607
362,Procedurals Watchers,Gold,Supporter: New Content,0.06173363824980233
363,Procedurals Watchers,Gold,Tentpole Anchor,0.03561485266088553
364,Procedurals Watchers,Platinum,Engagement Anchor,0.18136971032663537
366,Procedurals Watchers,Platinum,Supporter: New Content,0.1150306814315179
367,Procedurals Watchers,Platinum,Tentpole Anchor,0.5281021450914475
368,Procedurals Watchers,Silver,Buzz/Prestige/Brand Support,0.009698948070037515
369,Procedurals Watchers,Silver,Engagement Anchor,0.058338339212551694
370,Procedurals Watchers,Silver,Experimentation,0.05459711306703149
372,Procedurals Watchers,Silver,Supporter: Broad Library,0.09532613600096845
373,Procedurals Watchers,Silver,Supporter: New Content,0.028801476019217558
374,Reality Drama Divas,Bronze,Buzz/Prestige/Brand Support,0.007643797838185905
375,Reality Drama Divas,Bronze,Engagement Anchor,0.0873232066731305
376,Reality Drama Divas,Bronze,Experimentation,0.008266941500948954
378,Reality Drama Divas,Bronze,News & Sports,0.0028511277041016313
379,Reality Drama Divas,Bronze,Supporter: Broad Library,0.008319480569468744
380,Reality Drama Divas,Bronze,Supporter: New Content,0.019845138936647223
381,Reality Drama Divas,Bronze,Supporter: Segment-Specific Library,0.004096429901532834
382,Reality Drama Divas,Gold,Engagement Anchor,0.1016468206366003
383,Reality Drama Divas,Gold,Experimentation,0.03763258757465015
384,Reality Drama Divas,Gold,Supporter: New Content,0.09900078478609509
385,Reality Drama Divas,Gold,Tentpole Anchor,0.050184570094250196
386,Reality Drama Divas,Platinum,Engagement Anchor,0.23935059646406756
388,Reality Drama Divas,Platinum,Supporter: New Content,0.1581328701398324
389,Reality Drama Divas,Platinum,Tentpole Anchor,0.5565524992169796
390,Reality Drama Divas,Silver,Buzz/Prestige/Brand Support,0.032663545826519653
391,Reality Drama Divas,Silver,Engagement Anchor,0.07369191076176834
392,Reality Drama Divas,Silver,Experimentation,0.07222698682970304
394,Reality Drama Divas,Silver,Supporter: Broad Library,0.1611134849132249
395,Reality Drama Divas,Silver,Supporter: New Content,0.04209399663726282
396,Satirical Comedy Watchers,Bronze,Buzz/Prestige/Brand Support,0.012420571823959625
397,Satirical Comedy Watchers,Bronze,Engagement Anchor,0.14435049961568025
398,Satirical Comedy Watchers,Bronze,Experimentation,0.010163221527855301
400,Satirical Comedy Watchers,Bronze,News & Sports,0.003728024547506504
401,Satirical Comedy Watchers,Bronze,Supporter: Broad Library,0.005962834956699864
402,Satirical Comedy Watchers,Bronze,Supporter: New Content,0.018395134090572408
403,Satirical Comedy Watchers,Bronze,Supporter: Segment-Specific Library,0.0019828778072750134
404,Satirical Comedy Watchers,Gold,Engagement Anchor,0.15394757647621923
405,Satirical Comedy Watchers,Gold,Experimentation,0.03636508678161574
406,Satirical Comedy Watchers,Gold,Supporter: New Content,0.14885697101368045
407,Satirical Comedy Watchers,Gold,Tentpole Anchor,0.12103302563312766
408,Satirical Comedy Watchers,Platinum,Engagement Anchor,0.22996356734230902
410,Satirical Comedy Watchers,Platinum,Supporter: New Content,0.11821210888425104
411,Satirical Comedy Watchers,Platinum,Tentpole Anchor,0.6513899939158515
412,Satirical Comedy Watchers,Silver,Buzz/Prestige/Brand Support,0.04453475359904418
413,Satirical Comedy Watchers,Silver,Engagement Anchor,0.10356468125207223
414,Satirical Comedy Watchers,Silver,Experimentation,0.0749446922890266
416,Satirical Comedy Watchers,Silver,Supporter: Broad Library,0.1958483126522092
417,Satirical Comedy Watchers,Silver,Supporter: New Content,0.06818512455502276
418,Sci-Fi & Fantasy Watchers,Bronze,Buzz/Prestige/Brand Support,0.0025049256405293673
419,Sci-Fi & Fantasy Watchers,Bronze,Engagement Anchor,0.021459972904854355
420,Sci-Fi & Fantasy Watchers,Bronze,Experimentation,0.00794614366322201
422,Sci-Fi & Fantasy Watchers,Bronze,News & Sports,0.0016371768628909997
423,Sci-Fi & Fantasy Watchers,Bronze,Supporter: Broad Library,0.006022564462700848
424,Sci-Fi & Fantasy Watchers,Bronze,Supporter: New Content,0.008572383202802564
425,Sci-Fi & Fantasy Watchers,Bronze,Supporter: Segment-Specific Library,0.0009887860906667104
426,Sci-Fi & Fantasy Watchers,Gold,Engagement Anchor,0.0501975576612898
427,Sci-Fi & Fantasy Watchers,Gold,Experimentation,0.021064287166355965
